config_id,min,max,mean,std,pairs,scenic_differs,scenic_diff_rate,mean_distance_delta_m,mean_scenic_best_effective
baseline,0.04420246623117618,0.5712887576387573,0.28248038159533495,0.07643746156768633,5,2,0.4,1324.5799999999988,0.05756286160633295
sky_boost,0.04420246623117618,0.6545162967012573,0.2985027603136554,0.0904863365396045,5,2,0.4,1324.5799999999988,0.062034858338499456
water_boost,0.04420246623117618,0.6559445193575073,0.29969932309051595,0.0911422660595684,5,2,0.4,1324.5799999999988,0.062144025469988304
higher_thresholds,0.04420246623117618,0.5555050662325073,0.24612204943656135,0.07104179511893959,5,3,0.6,2694.179999999999,0.0498043121629833
color_boost,0.11050616557794045,0.8026593538312154,0.5427844550110433,0.08772216489575996,5,2,0.4,1324.5799999999988,0.10723229188330527
resize_384,0.04455514239894143,0.570944694044998,0.2822495288919797,0.07626008311649679,5,2,0.4,1324.5799999999988,0.05753403612588137
